member_id,name,birth_date,birth_place,mbti,height,hobby,special_skill
1,会田 凛,2006/02/08,福島,ENTJ,163,怖い話を見ること、K-POPを見ること,GIRLS HIPHOP、HIPHOP、JAZZ
2,青木 友香,2003/10/19,栃木,ENFJ,161,パン屋巡り、グルメサーチ,英語と韓国語、クラシックバレエ、カラスの鳴き真似、鼻と耳を同時に動かすこと
3,秋山 愛,2003/02/05,東京,ISTP,163,インスタのファッションアカウントを漁ること,ものまね、柔軟
4,阿部 和,2007/07/02,神奈川,ISFP,156,ソファーでお昼寝をすること,開脚、人より高いブリッジ、小指を柔らかくすること
5,荒牧 深愛,2005/08/29,東京,ENFP,157,動画編集,ダンス、阿波踊り
6,安藤 千陽,2004/05/20,福岡,INFJ,168,映像作品を観ること,折り紙
7,安藤 佑唯,2004/10/06,愛知,ENFP,160,メイク、好きな曲を探すこと,歌、マッサージ、モノマネ
8,飯田 栞月,2004/12/04,東京,ENFP,160,歌、かき氷巡り、キャラクターグッズを集めること,歌、絵、お料理
9,石井 蘭,2004/08/07,埼玉,ISFJ,162,洋楽鑑賞、知育菓子、料理,ダンス、けん玉
10,井餘田 華,2006/11/07,東京,ESFP,161,人間観察、食べること,ダンス、人の顔と名前をすぐに覚えること
11,植木 美々,2007/10/28,神奈川,ESFP,169,手指消毒、K-POPアイドルの真似、野球観戦,1人でクレヨンしんちゃん、ドラム
12,内山 凜,2008/02/03,東京,ESTJ,159,音楽鑑賞、ゲーム、歌うこと,ダンス、トータッチ
13,海老原 鼓,2007/01/22,神奈川,ENFP,158,寝ること、食べること、歌うこと,ギターを弾くこと、口笛を吹くこと、舌で鳴らすコッという音を大きく出せること
14,及川 里桜,2006/05/02,宮城,ENTJ,168,水遊び全般,足の指が器用なこと
15,太田 紗蘭,2005/04/19,神奈川,ENFJ,165.5,音楽を聴くこと、写真を撮ること,肩甲骨コントロール
16,大坪 楓恋,2004/11/05,福岡,ISTP,165,漫画、ゲームセンター,韓国語、ギター
17,岡部 望々花,2005/08/22,京都,ESFP,157,ショッピング、犬の動画を見ること,K-POPカバーダンス、ブリッジ歩き、ハンバーガー作り
18,岡村 菜那,2005/08/19,北海道,ENFP,159,K-POP・ドラマ鑑賞、好きな音楽を聴いてリズムに乗ってノリノリになること、子猫の動画をみること、深夜にモッパンを見ること,テニス、人を笑顔にすること
19,小田 有葉,2002/06/06,東京,ENFP,155,映画を観ること、音楽を聴くこと,ダンス
20,小栁 絵美,2003/11/29,インドネシア,ESFJ,156,ダンス、ショッピング,ウィンク
21,笠原 桃奈,2003/10/22,神奈川,ENFJ,163,フィルムカメラ,アクロバット
22,片岡 陽音,2004/09/02,大阪,ENFJ,159,ダンス、アイドル鑑賞、お友達と話すこと,踊る時手先を綺麗に魅せること
23,加藤 愛梨,2004/04/11,東京,ENFP,164,ディズニー,ものまね
24,加藤 神楽,2005/03/08,大阪,ENFP,170,ねずみと遊ぶこと,息を長く止められること、ドラム
25,加藤 心,2000/11/01,愛知,INFP,166,オイルパステルやアクリル絵の具で絵を描くこと、ギター,韓国語
26,加藤 好実,2004/10/17,東京,ESFJ,160,甘いものを食べること,メイク、舌を2つに折ること
27,鎌田 萌,2004/03/24,大阪,ENFP,162,美味しいご飯屋さんを見つけること,どんな曲でも鼻で奏でられること
28,神尾 彩乃,2006/07/18,大阪,ESFJ,159,写真を撮ること,ジャイアンのものまね
29,川岸 瑠那,2001/04/29,東京,ESFP,155,エレクトーン、ピアノ,テコンドー
30,川畑 蘭華,2006/05/05,愛知,ENFP,165,神社巡り,目のリレー、舌が鼻につくこと、絵を描くこと
31,菅野 美優,2002/07/11,香川,ESTJ,164,パン作り、ラテアート、洋服のデザイン,ダンス、動画編集
32,菊川 亜樹,2001/08/13,福岡,INFJ,161,ダンス、自然に触れること、好きな香りで癒されること、自分のケア、YouTube鑑賞、Netflix鑑賞,ダンス、ソフトテニス
33,北里 理桜,2004/03/15,福岡,ISFP,156,アニメ観賞、音楽鑑賞,少しだけ足が速いこと
34,北爪 さくら,2004/08/12,群馬,ENFP,155,ダンス,ものまね、アクロバット
35,木野 稟子,2005/09/13,京都,ESFP,160,アニメを観ること、猫と遊ぶこと,スポーツ、絵を描くこと
36,栗原 果乃,2004/11/06,埼玉,ISTP,157,愛犬と遊ぶこと,頭皮を動かすこと、エビの殼剥き
37,黒川 穂香,2005/07/01,徳島,ENFP,168,音楽鑑賞、ゲーム,モノマネ、バレーボール
38,釼持 菜乃,2001/08/27,新潟,ESFJ,164.6,K-POPカバーダンス,ダンス
39,小林 さえ,2005/02/02,神奈川,ESFP,164,K-POPを聴くこと、踊ること,特徴を掴んで人の真似をすること
40,小山 麻菜,1998/09/07,神奈川,ENFP,163,ホラー映画を観ること、友達と一緒に踊ること、美味しいご飯を食べること,カバーダンス、ピルエット、テナーサックス
41,斉藤 芹菜,2006/05/03,大阪,ESFP,164,お菓子作り、メイク,マジック、人の顔と名前を覚えること
42,坂口 梨乃,2003/09/01,神奈川,INFJ,165,アニメや映画を観ること、PCを触ること、メイクやファッション勉強,歌
43,坂田 琴音,2003/02/16,京都,INFP,168,1人カラオケ,絵画
44,櫻井 美羽,2002/01/11,愛知,ISTP,162.5,ヨガ、ベーキング、料理、水泳、音楽を聴くこと,勉強、料理、ダンスのフォーメーションを考えること
45,桜庭 遥花,2006/01/29,北海道,INTP,154,漫画、小説、バスケ,エレクトーン、長時間睡眠
46,佐々木 心菜,2006/01/30,三重,ISFP,165,歌を歌うこと、寝ること、オーディション番組を見ること、バトミントン,バスケ、同じ物をずっと食べられること
47,佐々木 つくし,2006/05/26,岩手,ISFJ,158,人間観察、振り覚え,ダンス
48,佐藤 あめり,2004/04/06,アメリカ,ISFJ,167,スキー、日記、旅行,クラシックバレエ
49,佐野 じゅえり,2003/07/10,東京,ENTP,170,映画鑑賞、ショッピング,バイオリン、ファッションコーディネート
50,柴垣 有佐,2006/05/23,愛知,ENFP,161,水泳、韓国語や英語の勉強,スポーツ
51,渋谷 芽衣,2006/05/12,兵庫,ENTP,163,マクドナルド新作レビュー,口を震わせて歌を歌えること
