member_id,name,birth_date,birth_place,mbti,height,hobby,special_skill,week_2_rank,week_3_rank,week_5_rank,image_url,profile_url
1,会田 凛,2006/02/08,福島,ENTJ,163,怖い話を見ること、K-POPを見ること,GIRLS HIPHOP、HIPHOP、JAZZ,32,35,11,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/001_aitarin.jpg,https://produce101.jp/profile/detail/?id=001_aitarin&lang=ja
2,秋山 愛,2003/02/05,東京,ISTP,163,インスタのファッションアカウントを漁ること,ものまね、柔軟,35,38,35,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/003_akiyamaema.jpg,https://produce101.jp/profile/detail/?id=003_akiyamaema&lang=ja
3,阿部 和,2007/07/02,神奈川,ISFP,156,ソファーでお昼寝をすること,開脚、人より高いブリッジ、小指を柔らかくすること,15,14,13,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/004_abenagomi.jpg,https://produce101.jp/profile/detail/?id=004_abenagomi&lang=ja
4,荒牧 深愛,2005/08/29,東京,ENFP,157,動画編集,ダンス、阿波踊り,12,18,20,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/005_aramakijoa.jpg,https://produce101.jp/profile/detail/?id=005_aramakijoa&lang=ja
5,安藤 千陽,2004/05/20,福岡,INFJ,168,映像作品を観ること,折り紙,43,43,38,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/006_andochiharu.jpg,https://produce101.jp/profile/detail/?id=006_andochiharu&lang=ja
6,安藤 佑唯,2004/10/06,愛知,ENFP,160,メイク、好きな曲を探すこと,歌、マッサージ、モノマネ,20,25,21,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/007_andoyui.jpg,https://produce101.jp/profile/detail/?id=007_andoyui&lang=ja
7,飯田 栞月,2004/12/04,東京,ENFP,160,歌、かき氷巡り、キャラクターグッズを集めること,歌、絵、お料理,31,32,37,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/009_iidashizuku.jpg,https://produce101.jp/profile/detail/?id=009_iidashizuku&lang=ja
8,石井 蘭,2004/08/07,埼玉,ISFJ,162,洋楽鑑賞、知育菓子、料理,ダンス、けん玉,7,7,3,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/010_ishiiran.jpg,https://produce101.jp/profile/detail/?id=010_ishiiran&lang=ja
9,内山 凜,2008/02/03,東京,ESTJ,159,音楽鑑賞、ゲーム、歌うこと,ダンス、トータッチ,74,73,46,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/013_uchiyamarin.jpg,https://produce101.jp/profile/detail/?id=013_uchiyamarin&lang=ja
10,海老原 鼓,2007/01/22,神奈川,ENFP,158,寝ること、食べること、歌うこと,ギターを弾くこと、口笛を吹くこと、舌で鳴らすコッという音を大きく出せること,3,5,6,https://produce101.jp/static/produce101s3/profile/Fv4BWpHPcDWMaUvvNw/profile/014_ebiharatsuzumi.jpg,https://produce101.jp/profile/detail/?id=014_ebiharatsuzumi&lang=ja
