songID,varID,lyrics_writer,song_writer,arranger,link,singleID,albumID
1,1,サエキけんぞう,桜井鉄太郎,桜井鉄太郎,http://www.up-front-works.jp/release/detail/EPCE-5661/,1,
1,2,サエキけんぞう,桜井鉄太郎,鈴木俊介,http://www.up-front-works.jp/release/detail/EPCE-7387/,506,
1,3,サエキけんぞう,桜井鉄太郎,鈴木俊介,http://www.up-front-works.jp/release/detail/EPCE-7387/,,183
2,1,つんく,はたけ,はたけ,https://wmg.jp/heike/discography/2027/,2,
3,1,まこと,はたけ,はたけ,https://www.discogs.com/ja/release/10074693-Michiyo-Heike-Teenage-Dream,2,
4,1,つんく,つんく,高橋諭一,https://musicbrainz.org/release/04cece30-0d85-4f42-b423-05ef362a1495,3,
4,2,つんく,つんく,鈴木俊介,http://www.up-front-works.jp/release/detail/EPCE-5661/,93,
4,3,つんく,つんく,米光亮,http://www.up-front-works.jp/release/detail/EPCE-5167/,,209
4,4,つんく,つんく,桜井鉄太郎,http://www.up-front-works.jp/release/detail/EPCE-5321/,,59
4,5,つんく/ラップ詞:下町兄弟,つんく,下町兄弟,http://www.up-front-works.jp/release/detail/SPRE-002/,22,
4,6,つんく,つんく,高橋諭一,https://musicbrainz.org/release/04cece30-0d85-4f42-b423-05ef362a1495,,113
4,7,つんく,つんく,高橋諭一,https://musicbrainz.org/release/04cece30-0d85-4f42-b423-05ef362a1495,,113
4,8,つんく,つんく,平田祥一郎,http://www.up-front-works.jp/release/detail/EPCE-7462/,485,
4,9,つんく,つんく,鈴木俊介,http://www.up-front-works.jp/release/detail/EPCE-7454/,512,
5,1,RICHARD CARPENTER、JOHN BETTIS (訳詞：まこと),RICHARD CARPENTER、JOHN BETTIS,はたけ,https://wmg.jp/heike/discography/2027/,4,
6,1,まこと,はたけ,はたけ,https://mdb.tower.jp/release/10342330/%E5%8D%92%E6%A5%AD,4,
7,1,加藤紀子,はたけ,はたけ,https://www.discogs.com/ja/release/10074693-Michiyo-Heike-Teenage-Dream,,1
8,1,まこと,はたけ,はたけ,https://www.discogs.com/ja/release/10074693-Michiyo-Heike-Teenage-Dream,,1
9,1,まこと,はたけ,はたけ,https://www.discogs.com/ja/release/10074693-Michiyo-Heike-Teenage-Dream,,1
10,1,岩谷時子,宮川泰,馬飼野康二/田中直,http://www.up-front-works.jp/release/detail/EPCE-5350/,,1
11,1,まこと,はたけ,はたけ,https://www.discogs.com/ja/release/10074693-Michiyo-Heike-Teenage-Dream,,1
12,1,愛絵理,はたけ,はたけ,https://www.discogs.com/ja/release/10074693-Michiyo-Heike-Teenage-Dream,,1
13,1,,はたけ,,,,1
14,1,とみたきょうこ,はたけ,はたけ,,,1
15,1,つんく,つんく,前嶋康明,http://www.up-front-works.jp/release/detail/EPCE-5505/,5,
15,2,つんく,つんく,BANANAICE,http://www.up-front-works.jp/release/detail/EPCE-5054/,21,
15,3,つんく,つんく,米光亮,http://www.up-front-works.jp/release/detail/EPCE-5167/,,209
15,4,つんく,つんく,前嶋康明,http://www.up-front-works.jp/release/detail/EPCE-5268/,159,
15,5,つんく,つんく,前嶋康明,http://www.up-front-works.jp/release/detail/EPCE-5321/,,59
16,1,つんく,つんく,高橋諭一,http://www.up-front-works.jp/release/detail/EPCE-5661/,5,
17,1,牧穂エミ,はたけ,はたけ,https://wmg.jp/heike/discography/2027/,6,
18,1,まこと,はたけ,はたけ,https://musicbrainz.org/release-group/0704a774-3fd0-3cce-a8c2-cb7737a404e8,6,
19,1,つんく,つんく,前嶋康明,http://www.up-front-works.jp/release/detail/EPCE-5002/,,2
20,1,つんく,つんく,高橋諭一 (ブラスアレンジ：森宣之),http://www.up-front-works.jp/release/detail/EPCE-5002/,,2
21,1,つんく,つんく,前嶋康明,http://www.up-front-works.jp/release/detail/EPCE-5002/,,2
22,1,狩野亜希子,つんく,黒尾俊介,http://www.up-front-works.jp/release/detail/EPCE-5002/,,2
23,1,つんく,つんく,今井了介,http://www.up-front-works.jp/release/detail/EPCE-7556/,,2
23,2,つんく,つんく,今井了介,,,48
24,1,つんく,つんく,高橋諭一,http://www.up-front-works.jp/release/detail/EPCE-5002/,,2
25,1,つんく,つんく,前嶋康明,http://www.up-front-works.jp/release/detail/EPCE-5002/,,2
26,1,荒木とよひさ,堀内孝雄,川村栄二,http://www.up-front-works.jp/release/detail/EPCE-5591/,7,
27,1,たきのえいじ,堀内孝雄,今泉敏郎,http://www.up-front-works.jp/release/detail/EPCE-5010/,7,
28,1,つんく,つんく,前嶋康明,,8,
28,2,つんく,つんく,前嶋康明,,,3
28,3,つんく,つんく,前嶋康明,,,6
28,4,つんく,つんく,前嶋康明,,160,
28,5,つんく,つんく,前嶋康明,,,59
28,6,つんく,つんく,前嶋康明,,,210
